county,countyLabel,deputy,deputyLabel,start
Q808201,Baringo County,Q111234303,Jacob Kurui Chepkwony,2017-08-08
Q891952,Bomet County,Q111234302,David Shadrack Rotich,2017-08-08
Q2928204,Bungoma County,Q111234312,Charles Ngome Kibanani,2017-08-08
Q1017519,Busia County,Q111234355,Solomon Abwaku Akadake,2017-08-08
Q15216433,Elgeyo-Marakwet County,Q111234340,Gabriel Lagat Kosgey,2017-08-08
Q1335242,Embu County,Q111234347,David Kariuki Njeru,2017-08-08
Q1494292,Garissa County,Q111234344,Dagame Abdi,2017-08-08
Q1625834,Homa Bay County,Q111234339,Hamiliton Onyango Orata,2017-08-08
Q1499046,Isiolo County,Q111234343,Ibrahim Abdi Issa,2017-08-08
Q285072,Kajiado County,Q111234313,Martin Moshisho,2017-08-08
Q1721867,Kakamega County,Q111234335,Philip Museve Kutima,2017-08-08
Q1739252,Kericho County,Q111234332,Susan Chepkoech Kikwai,2017-08-08
Q2575594,Kiambu County,Q111234314,Joyce Ngugi,2017-08-08
Q1741307,Kilifi County,Q111234330,Kenneth Mwakombo Kamto,2017-08-08
Q2230311,Kirinyaga County,Q111232175,Peter Ndambiri,2017-01-01
Q1743730,Kisii County,Q111234329,Arthur Maangi Gongera,2017-08-08
Q1743809,Kisumu County,Q111234328,Mathews Owili,2017-08-08
Q1722597,Kitui County,Q111234334,Wathe Nzau,2017-08-08
Q952571,Kwale County,Q111234280,Fatuma Mohamed Achani,2017-08-08
Q1800699,Laikipia County,Q111234324,John Mwaniki,2017-08-08
Q1951652,Lamu County,Q111234318,Abdulhakim Aboud Bwana,2017-08-08
Q1882639,Machakos County,Q111234319,Francis Maliti,2017-08-08
Q473717,Makueni County,Q111234308,Adelina Ndeto Mwau,2017-08-08
Q1477874,Mandera County,Q111234345,Mohamed Ahmed Arai,2017-08-08
Q1323683,Marsabit County,Q111234348,Solomon Gubo Riwe,2017-08-08
Q15045704,Meru County,Q111234341,Titus Ntuchiu,2017-08-08
Q429955,Migori County,Q111234309,Nelson Mahanga Mwita,2017-08-08
Q1112885,Mombasa County,Q111234354,William Kingi,2017-08-08
Q1781723,Muranga County,Q111234326,Augustine J Gakure Monyo,2017-08-08
Q3335223,Nairobi County,,,
Q1852202,Nakuru County,Q111234323,Erick Korir,2017-08-08
Q1964569,Nandi County,Q111234317,Yulita Jebotip Cheruiyot Mitei,2017-08-08
Q1852220,Narok County,Q111234320,Aruasa Evalyn Chepkirui,2017-08-08
Q1569613,Nyamira county,,,
Q1714352,Nyandarua County,Q111234336,Cecilia Wanjiru Mbuthia,2017-08-08
Q749665,Nyeri County,Q111234305,Caroline Karugu,2017-08-08
Q2096419,Samburu County,Q111234316,Julius Leseeto,2017-08-08
Q3482913,Siaya County,Q111234311,Wilson Ouma Onyango,2017-08-08
Q7193788,Taitaâ€“Taveta County,Q111234306,Majala Mlagui Delina,2017-08-08
Q383150,Tana River County,Q111234310,Jire Siyat Mohamed,2017-08-08
Q2189432,Tharaka Nithi County,Q111234315,Francis Nyamu Kagwima,2017-08-08
Q1278653,Trans-Nzoia county,Q111234350,Stanley Kiptoo Kenei Tarus,2017-08-08
Q1633078,Turkana County,Q111234338,Peter Lotethiro Emuria,2017-08-08
Q1121429,Uasin Gishu County,Q111234351,Daniel Kiplagat Kiprotich,2017-08-08
Q1313202,Vihiga County,Q111234349,Patrick Lumumba Saisi,2017-08-08
Q1852209,Wajir County,,,
Q590860,West Pokot County,Q111234307,Nicholas Atudonyang,2017-08-08
