@@,county,countylabel,governor,governorlabel,start
->,Q952571,Kwale County->Kwale,Q16212428,Salim Mvurya,2013-03-04->2017-08-08
->,Q891952,Bomet County->Bomet,Q111232081->NULL,Hillary Barchok->Dr. Hillary Barchok,2019-08-08->2017-08-08
->,Q808201,Baringo County->Baringo,Q111232892->NULL,Stanley Kiptis,2017-08-08
->,Q749665,Nyeri County->Nyeri,Q111232898->NULL,Mutahi Kahiga,2017-08-08
->,Q7193788,Taitaâ€“Taveta County->Taita-Taveta,Q59660333,Granton Samboja,2017-08-08
->,Q590860,West Pokot County->West Pokot,Q48123493,John Krop Lonyangapuo,2017-08-08
->,Q473717,Makueni County->Makueni,Q6418829,Kivutha Kibwana->Prof. Kivutha Kibwana,2013-03-27->2017-08-08
->,Q429955,Migori County->Migori,Q111232903->NULL,Zacharia Obado,2013-03-27->2017-08-08
->,Q383150,Tana River County->Tana River,Q16213140,Godhana Dhadho Gaddae,2017-08-08
->,Q3482913,Siaya County->Siaya,Q19938253,Cornel Rasanga Amoth->Cornel Rasanga,2013-03-27->2017-08-08
->,Q3335223,Nairobi County->Nairobi,Q111177838->NULL,Benson Mutura->NULL,2020-12-21->2017-08-08
->,Q2928204,Bungoma County->Bungoma,Q96627361,Wycliffe Wangamati->Wycliffe Wafula Wangamati,2017-08-08
->,Q285072,Kajiado County->Kajiado,Q16733690,Joseph Ole Lenku,2017-09-28->2017-08-08
->,Q2575594,Kiambu County->Kiambu,Q84081333,James Nyoro->Dr .James Nyoro,2017-08-08
->,Q2230311,Kirinyaga County->Kirinyaga,Q16886393,Anne Waiguru,2017-08-22->2017-08-08
->,Q2189432,Tharaka Nithi County->Tharaka,Q43927930,Muthomi Njuki->Onesmus Muthomi Njuki,2017-08-08
->,Q2096419,Samburu County->Samburu,Q16215853,Moses Lenolkula Kasaine->Moses Kasaine,2013-03-27->2017-08-08
->,Q1964569,Nandi County->Nandi,Q48472394,Stephen Sang->Stephen Kipyego Sang,2017-08-08
->,Q1951652,Lamu County->Lamu,Q5429550,Fahim Yasin Twaha->Fahim Yassin Twaha,2017-08-08
->,Q1882639,Machakos County->Machakos,Q16212421,Alfred Nganga Mutua->Alfred Mutua,2013-03-27->2017-08-08
->,Q1852220,Narok County->Narok,Q111232912->NULL,Samuel ole Tunai,2013-03-27->2017-08-08
->,Q1852209,Wajir County->Wajir,Q111232919->NULL,Ahmed Muktar Ali,2021-01-01->2017-08-08
->,Q1852202,Nakuru County->Nakuru,Q6514327,Lee Kinyanjui,2017-08-08
->,Q1800699,Laikipia County->Laikipia,Q6983763,Ndiritu Muriithi,2017-08-08
->,Q1781723,Muranga County->Murang'a,Q16730058,Mwangi wa Iria,2013-03-27->2017-08-08
->,Q1743809,Kisumu County->Kisumu,Q7172546,Peter Anyang' Nyong'o->Prof.Peter Anyang' Nyong'o,2017-08-08
->,Q1743730,Kisii County->Kisii,Q60544883,James Ongwae,2013-03-27->2017-08-08
->,Q1741307,Kilifi County->Kilifi,Q16730244,Amason Kingi,2013-03-27->2017-08-08
->,Q1739252,Kericho County->Kericho,Q59660303,Paul Chepkwony->Prof.Paul Kiprono Chepkwony,2017-08-08
->,Q1722597,Kitui County->Kitui,Q539821,Charity Ngilu,2017-08-08
->,Q1721867,Kakamega County->Kakamega,Q8039607,Wycliffe Oparanya,2013-03-27->2017-08-08
->,Q1714352,Nyandarua County->Nyandarua,Q5481626,Francis Kimemia,2017-08-08
->,Q1633078,Turkana County->Turkana,Q16846944,Josphat Nanok,2013-03-27->2017-08-08
->,Q1625834,Homa Bay County->Homa Bay,Q59656082,Cyprian Awiti->Dr. Cyprian Awiti,2013-03-27->2017-08-08
->,Q1569613,Nyamira county->Nyamira,Q111232930->NULL,Amos Kimwomi Nyaribo,2020-12-01->2017-08-08
->,Q15216433,Elgeyo-Marakwet County->Elgeyo-Marakwet,Q48472534,Alex Tolgos,2013-03-27->2017-08-08
->,Q15045704,Meru County->Meru,Q6414781,Kiraitu Murungi,2017-08-08
->,Q1499046,Isiolo County->Isiolo,Q6893179,Mohammed Kuti->Mohammed Abdi Kuti,2017-08-08
->,Q1494292,Garissa County->Garissa,Q107529095,Ali Korane,2017-08-08
->,Q1477874,Mandera County->Mandera,Q30636922,Ali Roba,2017-08-08
->,Q1335242,Embu County->Embu,Q16150817,Martin Nyaga Wambora->Martin Wambora,2013-03-27->2017-08-08
->,Q1323683,Marsabit County->Marsabit,Q4725044,Ali Mohamud Mohamed->Mohamud Mohamed Ali,2017-08-08
->,Q1313202,Vihiga County->Vihiga,Q8000077,Wilber Otichilo,2017-08-08
->,Q1278653,Trans-Nzoia county->Trans-Nzoia,Q105972509,Patrick Khaemba->Patrick Simonyu Khaemba,2013-03-27->2017-08-08
->,Q1121429,Uasin Gishu County->Uasin Gishu,Q48009463,Jackson Mandago->Jackson Kiplagat Mandago,2013-03-27->2017-08-08
->,Q1112885,Mombasa County->Mombasa,Q5679565,Hassan Ali Joho->Ali Hassan Joho,2013-03-27->2017-08-08
->,Q1017519,Busia County->Busia,Q7563913,Sospeter Ojaamong,2013-03-27->2017-08-08
